model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Motion-o (7B),timeblind,uniform,8,1200,600,9.5,7.4,12.11,18.08,33.08,57.33,23.58,179,104,421,496,0,29.83,82.67,12.5,7.75,17.25,3.29,7.19
Motion-o (7B),timeblind,uniform,16,1200,600,13.0,10.54,15.93,23.5,37.83,60.38,28.42,225,116,375,484,0,37.5,80.67,18.17,13.17,23.17,6.83,10.17
Motion-o (7B),timeblind,uniform,24,1200,600,16.33,13.59,19.5,25.5,38.67,60.71,30.42,237,128,363,472,0,39.5,78.67,18.17,13.06,23.27,10.2,10.49
Motion-o (7B),timeblind,random,1,1200,600,1.0,0.46,2.16,6.58,18.17,50.46,9.17,56,54,544,546,0,9.33,91.0,0.33,-2.93,3.6,-5.31,0.45
Motion-o (7B),timeblind,random,4,1200,600,3.0,1.91,4.69,12.17,25.08,53.71,17.67,128,84,472,516,0,21.33,86.0,7.33,3.04,11.63,-3.29,3.63
Motion-o (7B),timeblind,random,8,1200,600,7.67,5.8,10.08,16.58,31.0,56.25,22.75,165,108,435,492,0,27.5,82.0,9.5,4.79,14.21,1.43,6.12
Motion-o (7B),timeblind,random,16,1200,600,13.83,11.3,16.83,24.17,38.08,60.46,27.17,218,108,382,492,0,36.33,82.0,18.33,13.41,23.26,7.67,10.25
Motion-o (7B),timeblind,random,24,1200,600,16.33,13.59,19.5,25.67,39.25,60.83,29.83,234,124,366,476,0,39.0,79.33,18.33,13.26,23.41,10.2,10.61
Motion-o (7B),timeblind,hornet,1,1200,600,1.67,0.91,3.04,6.25,16.0,50.88,8.33,53,47,547,553,0,8.83,92.17,1.0,-2.13,4.13,-4.64,0.86
Motion-o (7B),timeblind,hornet,4,1200,600,1.5,0.79,2.83,6.83,18.75,51.12,12.08,83,62,517,538,0,13.83,89.67,3.5,-0.18,7.18,-4.81,1.1
Motion-o (7B),timeblind,hornet,8,1200,600,3.0,1.91,4.69,11.5,23.25,53.37,14.67,105,71,495,529,0,17.5,88.17,5.67,1.68,9.66,-3.29,3.31
Motion-o (7B),timeblind,hornet,16,1200,600,6.67,4.93,8.95,18.0,30.83,57.0,21.17,157,97,443,503,0,26.17,83.83,10.0,5.41,14.59,0.42,6.86
Motion-o (7B),timeblind,hornet,24,1200,600,12.83,10.39,15.75,24.75,37.92,61.0,27.17,221,105,379,495,0,36.83,82.5,19.33,14.42,24.25,6.66,10.78
Molmo2-8B,timeblind,uniform,1,1200,600,0.83,0.36,1.94,6.25,23.75,47.42,49.42,277,316,323,284,0,46.17,47.33,-6.5,-12.15,-0.85,-5.48,-2.53
Molmo2-8B,timeblind,uniform,4,1200,600,11.67,9.34,14.48,21.33,38.42,59.0,57.58,383,308,217,292,0,63.83,48.67,12.5,6.95,18.05,5.48,8.82
Molmo2-8B,timeblind,uniform,8,1200,600,11.83,9.49,14.66,21.17,38.17,58.83,57.33,383,305,217,295,0,63.83,49.17,13.0,7.45,18.55,5.65,8.65
Molmo2-8B,timeblind,uniform,16,1200,600,10.33,8.14,13.03,19.5,37.33,58.67,59.67,394,322,206,278,0,65.67,46.33,12.0,6.49,17.51,4.13,8.49
Molmo2-8B,timeblind,uniform,24,1200,600,9.0,6.96,11.56,17.17,36.17,57.29,64.25,415,356,185,244,0,69.17,40.67,9.83,4.44,15.23,2.78,7.14
Molmo2-8B,timeblind,random,1,1200,600,6.33,4.65,8.57,14.67,31.42,53.83,50.58,331,276,269,324,0,55.17,54.0,9.17,3.53,14.8,0.08,3.76
